TransactionRef,Swiftref,TradeType,TradeStatus,SettlementStatus,Quantity,Amount,ValueDate,TradeDate,Open Quantity,Open Amount,Security ISIN,Balance_Pool,Trade Type (Buy/Sell),Department
500078,CP500078I6,PRINCIPLE,NEW,SETTLED,128000,192000,22-Jul,20-Jul,128000,192000,IN000078,700001078,Buy,C
500079,CP500079I7,PRINCIPLE,NEW,SETTLED,129000,193500,23-Jul,21-Jul,129000,193500,IN000079,700001079,Sell,A
500080,CP500080I8,PRINCIPLE,NEW,SETTLED,130000,195000,23-Jul,21-Jul,130000,195000,US000080,700001080,Buy,B
500081,CP500081I9,PRINCIPLE,NEW,SETTLED,131000,196500,24-Jul,22-Jul,131000,196500,US000081,700001081,Sell,C
500082,CP500082J1,PRINCIPLE,NEW,SETTLED,132000,198000,24-Jul,22-Jul,132000,198000,EU000082,700001082,Buy,A
500083,CP500083J2,PRINCIPLE,NEW,SETTLED,133000,199500,25-Jul,23-Jul,133000,199500,EU000083,700001083,Sell,B
500084,CP500084J3,PRINCIPLE,NEW,SETTLED,134000,201000,25-Jul,23-Jul,134000,201000,IN000084,700001084,Buy,C
500085,CP500085J4,PRINCIPLE,NEW,SETTLED,135000,202500,26-Jul,24-Jul,135000,202500,IN000085,700001085,Sell,A
500086,CP500086J5,PRINCIPLE,NEW,SETTLED,136000,204000,26-Jul,24-Jul,136000,204000,US000086,700001086,Buy,B
500087,CP500087J6,PRINCIPLE,NEW,SETTLED,137000,205500,22-Jul,20-Jul,137000,205500,US000087,700001087,Sell,C
500088,CP500088J7,PRINCIPLE,NEW,SETTLED,138000,207000,22-Jul,20-Jul,138000,207000,EU000088,700001088,Buy,A
500089,CP500089J8,PRINCIPLE,NEW,SETTLED,139000,208500,21-Jul,19-Jul,139000,208500,EU000089,700001089,Sell,B
500090,CP500090J9,PRINCIPLE,NEW,SETTLED,140000,210000,21-Jul,19-Jul,140000,210000,IN000090,700001090,Buy,C
500091,CP500091K1,PRINCIPLE,NEW,SETTLED,141000,211500,22-Jul,20-Jul,141000,211500,IN000091,700001091,Sell,A
500092,CP500092K2,PRINCIPLE,NEW,SETTLED,142000,213000,22-Jul,20-Jul,142000,213000,US000092,700001092,Buy,B
500093,CP500093K3,PRINCIPLE,NEW,SETTLED,143000,214500,23-Jul,21-Jul,143000,214500,US000093,700001093,Sell,C
500094,CP500094K4,PRINCIPLE,NEW,SETTLED,144000,216000,23-Jul,21-Jul,144000,216000,EU000094,700001094,Buy,A
500095,CP500095K5,PRINCIPLE,NEW,SETTLED,145000,217500,24-Jul,22-Jul,145000,217500,EU000095,700001095,Sell,B
500096,CP500096K6,PRINCIPLE,NEW,SETTLED,146000,219000,24-Jul,22-Jul,146000,219000,IN000096,700001096,Buy,C
500097,CP500097K7,PRINCIPLE,NEW,SETTLED,147000,220500,25-Jul,23-Jul,147000,220500,IN000097,700001097,Sell,A
500098,CP500098K8,PRINCIPLE,NEW,SETTLED,148000,222000,25-Jul,23-Jul,148000,222000,US000098,700001098,Buy,B
500099,CP500099K9,PRINCIPLE,NEW,SETTLED,149000,223500,26-Jul,24-Jul,149000,223500,US000099,700001099,Sell,C
500100,CP500100L1,PRINCIPLE,NEW,SETTLED,150000,225000,26-Jul,24-Jul,150000,225000,EU000100,700001100,Buy,A
500101,CP500101L2,PRINCIPLE,NEW,SETTLED,151000,226500,22-Jul,20-Jul,151000,226500,EU000101,700001101,Sell,B
500102,CP500102L3,PRINCIPLE,NEW,SETTLED,152000,228000,22-Jul,20-Jul,152000,228000,IN000102,700001102,Buy,C
500103,CP500103L4,PRINCIPLE,NEW,SETTLED,153000,229500,21-Jul,19-Jul,153000,229500,IN000103,700001103,Sell,A
500104,CP500104L5,PRINCIPLE,NEW,SETTLED,154000,231000,21-Jul,19-Jul,154000,231000,US000104,700001104,Buy,B
500105,CP500105L6,PRINCIPLE,NEW,SETTLED,155000,232500,22-Jul,20-Jul,155000,232500,US000105,700001105,Sell,C
500106,CP500106L7,PRINCIPLE,NEW,SETTLED,156000,234000,22-Jul,20-Jul,156000,234000,EU000106,700001106,Buy,A
500107,CP500107L8,PRINCIPLE,NEW,SETTLED,157000,235500,23-Jul,21-Jul,157000,235500,EU000107,700001107,Sell,B
500108,CP500108L9,PRINCIPLE,NEW,SETTLED,158000,237000,23-Jul,21-Jul,158000,237000,IN000108,700001108,Buy,C
500109,CP500109M1,PRINCIPLE,NEW,SETTLED,159000,238500,24-Jul,22-Jul,159000,238500,IN000109,700001109,Sell,A
500110,CP500110M2,PRINCIPLE,NEW,SETTLED,160000,240000,24-Jul,22-Jul,160000,240000,US000110,700001110,Buy,B
500111,CP500111M3,PRINCIPLE,NEW,SETTLED,161000,241500,25-Jul,23-Jul,161000,241500,US000111,700001111,Sell,C
500112,CP500112M4,PRINCIPLE,NEW,SETTLED,162000,243000,25-Jul,23-Jul,162000,243000,EU000112,700001112,Buy,A
500113,CP500113M5,PRINCIPLE,NEW,SETTLED,163000,244500,26-Jul,24-Jul,163000,244500,EU000113,700001113,Sell,B
500114,CP500114M6,PRINCIPLE,NEW,SETTLED,164000,246000,26-Jul,24-Jul,164000,246000,IN000114,700001114,Buy,C
500115,CP500115M7,PRINCIPLE,NEW,SETTLED,165000,247500,22-Jul,20-Jul,165000,247500,IN000115,700001115,Sell,A
500116,CP500116M8,PRINCIPLE,NEW,SETTLED,166000,249000,22-Jul,20-Jul,166000,249000,US000116,700001116,Buy,B
500117,CP500117M9,PRINCIPLE,NEW,SETTLED,167000,250500,21-Jul,19-Jul,167000,250500,US000117,700001117,Sell,C
500118,CP500118N1,PRINCIPLE,NEW,SETTLED,168000,252000,21-Jul,19-Jul,168000,252000,EU000118,700001118,Buy,A
500119,CP500119N2,PRINCIPLE,NEW,SETTLED,169000,253500,22-Jul,20-Jul,169000,253500,EU000119,700001119,Sell,B
500120,CP500120N3,PRINCIPLE,NEW,SETTLED,170000,255000,22-Jul,20-Jul,170000,255000,IN000120,700001120,Buy,C
500121,CP500121N4,PRINCIPLE,NEW,SETTLED,171000,256500,23-Jul,21-Jul,171000,256500,IN000121,700001121,Sell,A
500122,CP500122N5,PRINCIPLE,NEW,SETTLED,172000,258000,23-Jul,21-Jul,172000,258000,US000122,700001122,Buy,B
500123,CP500123N6,PRINCIPLE,NEW,SETTLED,173000,259500,24-Jul,22-Jul,173000,259500,US000123,700001123,Sell,C
500124,CP500124N7,PRINCIPLE,NEW,SETTLED,174000,261000,24-Jul,22-Jul,174000,261000,EU000124,700001124,Buy,A
500125,CP500125N8,PRINCIPLE,NEW,SETTLED,175000,262500,25-Jul,23-Jul,175000,262500,EU000125,700001125,Sell,B
500126,CP500126N9,PRINCIPLE,NEW,SETTLED,176000,264000,25-Jul,23-Jul,176000,264000,IN000126,700001126,Buy,C
500127,CP500127O1,PRINCIPLE,NEW,SETTLED,177000,265500,26-Jul,24-Jul,177000,265500,IN000127,700001127,Sell,A
500128,CP500128O2,PRINCIPLE,NEW,SETTLED,178000,267000,26-Jul,24-Jul,178000,267000,US000128,700001128,Buy,B
500129,CP500129O3,PRINCIPLE,NEW,SETTLED,179000,268500,22-Jul,20-Jul,179000,268500,US000129,700001129,Sell,C
500130,CP500130O4,PRINCIPLE,NEW,SETTLED,180000,270000,22-Jul,20-Jul,180000,270000,EU000130,700001130,Buy,A
500131,CP500131O5,PRINCIPLE,NEW,SETTLED,181000,271500,21-Jul,19-Jul,181000,271500,EU000131,700001131,Sell,B
500132,CP500132O6,PRINCIPLE,NEW,SETTLED,182000,273000,21-Jul,19-Jul,182000,273000,IN000132,700001132,Buy,C
500133,CP500133O7,PRINCIPLE,NEW,SETTLED,183000,274500,22-Jul,20-Jul,183000,274500,IN000133,700001133,Sell,A
500134,CP500134O8,PRINCIPLE,NEW,SETTLED,184000,276000,22-Jul,20-Jul,184000,276000,US000134,700001134,Buy,B
500135,CP500135O9,PRINCIPLE,NEW,SETTLED,185000,277500,23-Jul,21-Jul,185000,277500,US000135,700001135,Sell,C
500136,CP500136P1,PRINCIPLE,NEW,SETTLED,186000,279000,23-Jul,21-Jul,186000,279000,EU000136,700001136,Buy,A
500137,CP500137P2,PRINCIPLE,NEW,SETTLED,187000,280500,24-Jul,22-Jul,187000,280500,EU000137,700001137,Sell,B
500138,CP500138P3,PRINCIPLE,NEW,SETTLED,188000,282000,24-Jul,22-Jul,188000,282000,IN000138,700001138,Buy,C
500139,CP500139P4,PRINCIPLE,NEW,SETTLED,189000,283500,25-Jul,23-Jul,189000,283500,IN000139,700001139,Sell,A
500140,CP500140P5,PRINCIPLE,NEW,SETTLED,190000,285000,25-Jul,23-Jul,190000,285000,US000140,700001140,Buy,B
500141,CP500141P6,PRINCIPLE,NEW,SETTLED,191000,286500,26-Jul,24-Jul,191000,286500,US000141,700001141,Sell,C
500142,CP500142P7,PRINCIPLE,NEW,SETTLED,192000,288000,26-Jul,24-Jul,192000,288000,EU000142,700001142,Buy,A
500143,CP500143P8,PRINCIPLE,NEW,SETTLED,193000,289500,22-Jul,20-Jul,193000,289500,EU000143,700001143,Sell,B
500144,CP500144P9,PRINCIPLE,NEW,SETTLED,194000,291000,22-Jul,20-Jul,194000,291000,IN000144,700001144,Buy,C
500145,CP500145Q1,PRINCIPLE,NEW,SETTLED,195000,292500,21-Jul,19-Jul,195000,292500,IN000145,700001145,Sell,A
500146,CP500146Q2,PRINCIPLE,NEW,SETTLED,196000,294000,21-Jul,19-Jul,196000,294000,US000146,700001146,Buy,B
500147,CP500147Q3,PRINCIPLE,NEW,SETTLED,197000,295500,22-Jul,20-Jul,197000,295500,US000147,700001147,Sell,C
500148,CP500148Q4,PRINCIPLE,NEW,SETTLED,198000,297000,22-Jul,20-Jul,198000,297000,EU000148,700001148,Buy,A
500149,CP500149Q5,PRINCIPLE,NEW,SETTLED,199000,298500,23-Jul,21-Jul,199000,298500,EU000149,700001149,Sell,B
500150,CP500150Q6,PRINCIPLE,NEW,SETTLED,200000,300000,23-Jul,21-Jul,200000,300000,IN000150,700001150,Buy,C
500151,CP500151Q7,PRINCIPLE,NEW,SETTLED,201000,301500,24-Jul,22-Jul,201000,301500,IN000151,700001151,Sell,A
500152,CP500152Q8,PRINCIPLE,NEW,SETTLED,202000,303000,24-Jul,22-Jul,202000,303000,US000152,700001152,Buy,B
500153,CP500153Q9,PRINCIPLE,NEW,SETTLED,203000,304500,25-Jul,23-Jul,203000,304500,US000153,700001153,Sell,C
500154,CP500154R1,PRINCIPLE,NEW,SETTLED,204000,306000,25-Jul,23-Jul,204000,306000,EU000154,700001154,Buy,A
500155,CP500155R2,PRINCIPLE,NEW,SETTLED,205000,307500,26-Jul,24-Jul,205000,307500,EU000155,700001155,Sell,B
500156,CP500156R3,PRINCIPLE,NEW,SETTLED,206000,309000,26-Jul,24-Jul,206000,309000,IN000156,700001156,Buy,C
500157,CP500157R4,PRINCIPLE,NEW,SETTLED,207000,310500,22-Jul,20-Jul,207000,310500,IN000157,700001157,Sell,A
500158,CP500158R5,PRINCIPLE,NEW,SETTLED,208000,312000,22-Jul,20-Jul,208000,312000,US000158,700001158,Buy,B
500159,CP500159R6,PRINCIPLE,NEW,SETTLED,209000,313500,21-Jul,19-Jul,209000,313500,US000159,700001159,Sell,C
500160,CP500160R7,PRINCIPLE,NEW,SETTLED,210000,315000,21-Jul,19-Jul,210000,315000,EU000160,700001160,Buy,A
500161,CP500161R8,PRINCIPLE,NEW,SETTLED,211000,316500,22-Jul,20-Jul,211000,316500,EU000161,700001161,Sell,B
500162,CP500162R9,PRINCIPLE,NEW,SETTLED,212000,318000,22-Jul,20-Jul,212000,318000,IN000162,700001162,Buy,C
500163,CP500163S1,PRINCIPLE,NEW,SETTLED,213000,319500,23-Jul,21-Jul,213000,319500,IN000163,700001163,Sell,A
500164,CP500164S2,PRINCIPLE,NEW,SETTLED,214000,321000,23-Jul,21-Jul,214000,321000,US000164,700001164,Buy,B
500165,CP500165S3,PRINCIPLE,NEW,SETTLED,215000,322500,24-Jul,22-Jul,215000,322500,US000165,700001165,Sell,C
500166,CP500166S4,PRINCIPLE,NEW,SETTLED,216000,324000,24-Jul,22-Jul,216000,324000,EU000166,700001166,Buy,A
500167,CP500167S5,PRINCIPLE,NEW,SETTLED,217000,325500,25-Jul,23-Jul,217000,325500,EU000167,700001167,Sell,B
500168,CP500168S6,PRINCIPLE,NEW,SETTLED,218000,327000,25-Jul,23-Jul,218000,327000,IN000168,700001168,Buy,C
500169,CP500169S7,PRINCIPLE,NEW,SETTLED,219000,328500,26-Jul,24-Jul,219000,328500,IN000169,700001169,Sell,A
500170,CP500170S8,PRINCIPLE,NEW,SETTLED,220000,330000,26-Jul,24-Jul,220000,330000,US000170,700001170,Buy,B
500171,CP500171S9,PRINCIPLE,NEW,SETTLED,221000,331500,22-Jul,20-Jul,221000,331500,US000171,700001171,Sell,C
500172,CP500172T1,PRINCIPLE,NEW,SETTLED,222000,333000,22-Jul,20-Jul,222000,333000,EU000172,700001172,Buy,A
500173,CP500173T2,PRINCIPLE,NEW,SETTLED,223000,334500,21-Jul,19-Jul,223000,334500,EU000173,700001173,Sell,B
500174,CP500174T3,PRINCIPLE,NEW,SETTLED,224000,336000,21-Jul,19-Jul,224000,336000,IN000174,700001174,Buy,C
500175,CP500175T4,PRINCIPLE,NEW,SETTLED,225000,337500,22-Jul,20-Jul,225000,337500,IN000175,700001175,Sell,A
500176,CP500176T5,PRINCIPLE,NEW,SETTLED,226000,339000,22-Jul,20-Jul,226000,339000,US000176,700001176,Buy,B
500177,CP500177T6,PRINCIPLE,NEW,SETTLED,227000,340500,23-Jul,21-Jul,227000,340500,US000177,700001177,Sell,C
500178,CP500178T7,PRINCIPLE,NEW,SETTLED,228000,342000,23-Jul,21-Jul,228000,342000,EU000178,700001178,Buy,A
500179,CP500179T8,PRINCIPLE,NEW,SETTLED,229000,343500,24-Jul,22-Jul,229000,343500,EU000179,700001179,Sell,B
500180,CP500180T9,PRINCIPLE,NEW,SETTLED,230000,345000,24-Jul,22-Jul,230000,345000,IN000180,700001180,Buy,C
500181,CP500181U1,PRINCIPLE,NEW,SETTLED,231000,346500,25-Jul,23-Jul,231000,346500,IN000181,700001181,Sell,A
500182,CP500182U2,PRINCIPLE,NEW,SETTLED,232000,348000,25-Jul,23-Jul,232000,348000,US000182,700001182,Buy,B
500183,CP500183U3,PRINCIPLE,NEW,SETTLED,233000,349500,26-Jul,24-Jul,233000,349500,US000183,700001183,Sell,C
500184,CP500184U4,PRINCIPLE,NEW,SETTLED,234000,351000,26-Jul,24-Jul,234000,351000,EU000184,700001184,Buy,A
500185,CP500185U5,PRINCIPLE,NEW,SETTLED,235000,352500,22-Jul,20-Jul,235000,352500,EU000185,700001185,Sell,B
500186,CP500186U6,PRINCIPLE,NEW,SETTLED,236000,354000,22-Jul,20-Jul,236000,354000,IN000186,700001186,Buy,C
500187,CP500187U7,PRINCIPLE,NEW,SETTLED,237000,355500,21-Jul,19-Jul,237000,355500,IN000187,700001187,Sell,A
500188,CP500188U8,PRINCIPLE,NEW,SETTLED,238000,357000,21-Jul,19-Jul,238000,357000,US000188,700001188,Buy,B
500189,CP500189U9,PRINCIPLE,NEW,SETTLED,239000,358500,22-Jul,20-Jul,239000,358500,US000189,700001189,Sell,C
500190,CP500190V1,PRINCIPLE,NEW,SETTLED,240000,360000,22-Jul,20-Jul,240000,360000,EU000190,700001190,Buy,A
500191,CP500191V2,PRINCIPLE,NEW,SETTLED,241000,361500,23-Jul,21-Jul,241000,361500,EU000191,700001191,Sell,B
500192,CP500192V3,PRINCIPLE,NEW,SETTLED,242000,363000,23-Jul,21-Jul,242000,363000,IN000192,700001192,Buy,C
500193,CP500193V4,PRINCIPLE,NEW,SETTLED,243000,364500,24-Jul,22-Jul,243000,364500,IN000193,700001193,Sell,A
500194,CP500194V5,PRINCIPLE,NEW,SETTLED,244000,366000,24-Jul,22-Jul,244000,366000,US000194,700001194,Buy,B
500195,CP500195V6,PRINCIPLE,NEW,SETTLED,245000,367500,25-Jul,23-Jul,245000,367500,US000195,700001195,Sell,C
500196,CP500196V7,PRINCIPLE,NEW,SETTLED,246000,369000,25-Jul,23-Jul,246000,369000,EU000196,700001196,Buy,A
500197,CP500197V8,PRINCIPLE,NEW,SETTLED,247000,370500,26-Jul,24-Jul,247000,370500,EU000197,700001197,Sell,B
500198,CP500198V9,PRINCIPLE,NEW,SETTLED,248000,372000,26-Jul,24-Jul,248000,372000,IN000198,700001198,Buy,C
500199,CP500199W1,PRINCIPLE,NEW,SETTLED,249000,373500,22-Jul,20-Jul,249000,373500,IN000199,700001199,Sell,A
500200,CP500200W2,PRINCIPLE,NEW,SETTLED,250000,375000,22-Jul,20-Jul,250000,375000,US000200,700001200,Buy,B
500201,CP500201W3,PRINCIPLE,NEW,SETTLED,251000,376500,21-Jul,19-Jul,251000,376500,US000201,700001201,Sell,C
500202,CP500202W4,PRINCIPLE,NEW,SETTLED,252000,378000,21-Jul,19-Jul,252000,378000,EU000202,700001202,Buy,A
500203,CP500203W5,PRINCIPLE,NEW,SETTLED,253000,379500,22-Jul,20-Jul,253000,379500,EU000203,700001203,Sell,B
